"id","Kichwa","Español","Kichwa2"
"487","Hillay"," Implemento ","Llamkana"
"488","Hillaykuna"," Instrumentos ","Instrumentokuna"
"489","Hillaysapa"," Aparato ","Aparato"
"490","HILLI"," Sopa ","Lawa"
"491","Hita"," pozo ","Allin"
"492","Hondonada"," Pukru ","pukru"
"493","Huchu kiru"," Muela ","Kiru"
"494","Huku ukuyayllika"," Secreccion endogeno ","secreción endógena nisqa"
"495","Hukukanllayay"," Secrecion exogeno ","secreción exógena nisqa"
"496","Hukurillawsallika"," Sistema excretor ","Sistema excretorio nisqa"
"497","Humpi"," Sudor ","Hunpi"
"498","Humpina"," Sudar ","Hunpi"
"499","Hunina"," Conjugar ","Chapuy"
"500","Hunkay"," Semana ","Semana"
"501","Hunkay / kanchisri"," Semana ","Semana"
"502","Hunta"," lleno ","hunta"
"503","HUNU"," millón- 1000000 ","millón- 1000000"
"504","Hutkunantak"," Taladro ","Ruwarina"
"505","Huña"," Moco ","Bugger nisqa"
"506","Ichanik"," Duda ","Iskayrayay"
"507","Ichanik yuyal"," Oración dubitativa. ","Iskayrayaspa mañakuy."
"508","Ichanik yuyay"," Oración dubitativa ","iskayrayaspa mañakuy"
"509","ILLAK"," cero- 0 ","cero- 0"
"510","Illana- mana tiyana"," No haber- ausentar ","Mana kapuq-ausente"
"511","Illapa"," Arma de fuego escopeta ","escopeta nisqa arma de fuego"
"512","Illay"," faltar ","pisi"
"513","Ima rikunchikuna"," Causa ","Causa"
"514","Imachik"," Verbo ","Ruraq"
"515","Imachik yuyayki"," Frase verbal ","Frase verbal"
"516","IMACHIKKUNA"," VERBOS ","VERBOS"
"517","Imak"," Sujeto ","Rimana"
"518","Imakak"," Característica ","Característica"
"519","Imakay"," Concepto. ","Concepto."
"520","Imakay (W)"," Concepto ","Concepto"
"521","Imakay sapsikuna"," Características generales ","Características generales nisqa"
"522","Imakaychina"," Conceptualizar ","Conceptualizay"
"523","Imakaychinamanta"," Conceptualización ","hamut’ay"
"524","Imallichik"," Adverbio ","Rimana tikrachiq"
"525","Imamantachiy"," Justificación ","Justificación nisqa"
"526","Imanik"," Predicado ","Predicado nisqa"
"527","Imapash"," Cualquier cosa ","Imapas"
"528","Imarayku"," Causas ","Causas"
"529","Imaruran"," Consecuencias ","Consecuencia"
"530","Imaruray"," Función ","Ruway"
"531","Imashinakan"," Formas ","Rikchaykuna"
"532","Imatukuna"," Acontecer. ","Imanay."
"533","Imatukuna (W)"," Acontecer ","Imanay"
"534","Imatukuy"," Acontecimiento- suceder ","suceso- pasakun"
"535","Imayay"," Materia ","Rimana"
"536","Imaykuna"," Elementos ","Imakuna"
"537","Imilla"," Adolescente hombre- ","wayna sipas runa- ."
"538","Inchi"," Maní ","Maní"
"539","Inti"," Sol- intipuncha Domingo ","Inti- intipuncha Domingo"
"540","Inti llika"," Sistema Solar ","Sistema solar nisqa"
"541","INTI puncha"," Domingo ","Domingo"
"542","Inti suyu"," Este ","Kay"
"543","Intikinrayllipyay"," Solsticios ","solsticiokuna"
"544","Intillayayllipyay"," Equinoccio ","Equinoccio nisqa"
"545","Intillika"," Sistema solar ","Sistema solar nisqa"
"546","Intiraymi"," Fiesta de Sol ","inti raymi"
"547","Intishayakllipyay"," Equinoccio ","Equinoccio nisqa"
"548","Intiwayllashka"," Fotosíntesis ","Fotosíntesis nisqa"
"549","Ishkantinpurachi"," Sobreyectiva ","surjetivo nisqa"
"550","ISHKAY"," dos- 2 ","iskay 2.1"
"551","ISHKAY CHUNKA"," veinte- 20 ","iskay chunka- 20"
"552","ISHKAY PATSAK"," docientos- 200 ","iskay pachak- 200"
"553","Ishkaychishka kutinkutinchikyuk yapa"," Suma de potencias con exponente par ","Suma de poderes con exponente par"
"554","Ishkaychishka yupay"," Número par ","Yupaypas"
"555","Ishkaykillkanancha kutinchiy"," Factorización de binomios ","Factorización de binomios nisqamanta"
"556","Ishkaymanpurachi"," Biyectiva ","bijetivo nisqa"
"557","Ishkayniki kallari yachay"," Segundo Nivel ","Iskay kaq pata"
"558","Ishkaynikichishka iñu"," Par ordenado ","kamachisqa paris"
"559","Ishkaynipa yuyal"," Oración bimembre. ","Iskay miembrukuna mañakuy."
"560","Ishkaynipa yuyay"," Oración bimembre ","iskay miembruyuq mañakuy"
"561","Ishkaypakta kimsamanyaychi"," Triángulo isósceles ","Isósceles kimsa kuchu"
"562","Ishpa phuru"," Vejiga ","Vejiga"
"563","ISKUN"," nueve- 9 ","isqun 9"
"564","ISKUN CHUNKA"," noventa- 90 ","isqun chunka- 90"
"565","ISKUN PATSAK"," novecientos- 900 ","isqun pachak- 900"
"566","Ismuwanu"," Compost ","Compost"
"567","Isru"," Aro ","Siwi"
"568","Iwila"," Shampoo natural Planta ","Planta champú natural"
"569","Iñina"," Creer ","Iñiy"
"570","Iñiy"," Creencia- creer ","iñiy- iñiy"
"571","Iñu uchilla suyukuna"," Puntos colaterales ","puntos colaterales nisqa"
"572","Iñuku"," Átomo ","Atomo"
"573","Iñuwa"," Molécula ","Molécula"
"574","Kachachik"," Imperativo ","Imperativo"
"575","Kachachik yuyay"," Oración imperativa ","oración imperativa"
"576","Kachamuna"," Mandar- enviar ","Apachiy"
"577","Kacharishka"," Libre ","Qispisqa"
"578","Kachi"," Sal ","Kachi"
"579","Kachipurawa"," Borraja ","Boraje"
"580","Kahaskancha"," Cordillera ","Urqukuna"
"581","Kahasmuku"," Nudos de cordillera ","urqukuna nudokuna"
"582","Kakatsu"," Lagaña ","Lagana"
"583","Kakchiy"," Definición ","Niynin"
"584","Kakrikuchina"," Describir. ","Niy."
"585","kakrikuchina (W)"," Describir ","Niy"
"586","Kaksaskancha"," Cordillera ","Urqukuna"
"587","Kaksaskuna"," Accidentes geográficos ","Accidentes geográficos nisqamanta"
"588","Kaksasmuku"," Nudos de cordillera ","urqukuna nudokuna"
"589","Kaksasuyu pampa"," Area Andina ","Área Andina"
"590","Kaktarikuchik"," Físico Estructura ","Estructura Física nisqa"
"591","Kakunamaki"," desafío ","atipanakuy"
"592","kakwillay"," Certificado ","Chiqaqyachiy"
"593","Kakwillay- illu"," Certificado. ","Chiqaqyachiy."
"594","Kalak"," Débil ","Unpu"
"595","kalak"," Débil ","Unpu"
"596","Kallampa"," Hongo ","Kallanpa"
"597","Kallanpa"," Hongo ","Kallanpa"
"598","Kallari yachay"," Primer Nivel de Educación Básica ","Primer Nivel de Educación Básica nisqa"
"599","Kallari yuyay"," Introducción ","Qallariy"
"600","Kallarillaktayku"," Primeros pobladores ","ñawpaq tiyaqkuna"
"601","Kallarinancha"," Dominio ","Dominio"
"602","Kallariy"," Presentación- inicio ","Riqsichiy- qallariy"
"603","Kallariy yachay"," Educación Básica. ","Educación básica nisqa."
"604","Kallariyuyay"," Presentación ","Riqsichiy"
"605","Kallpa"," Vigor ","Vigor"
"606","Kallpana"," Correr ","Paway"
"607","Kallpanakuy"," Atletismo ","Atletismo nisqa"
"608","Kallpay"," Correr ","Paway"
"609","Kalluwatariy"," Trabalengua ","simi t’ikrakuq"
"610","kamachashka"," protegido ","amachasqa"
"611","kamachay"," Proteger ","Harkay"
"612","Kamachik"," Legislador- Consejero ","Kamachiq- Concejal"
"613","Kamachik atiy"," Poder Legislativo ","Kamachiy atiy"
"614","Kamachik wasi"," Corte superior de justicia ","tribunal superior de justicia nisqa"
"615","Kamachikamay"," Administración ","Kamachiy"
"616","Kamachikkuna"," Leyes ","kamachiykunata"
"617","Kamachina"," Consejo- exhoracion ","consejo- yuyaychay"
"618","Kamachipuk"," Legislativo ","Legislativo nisqa"
"619","Kamachipuk Tay"," Poder Legislativo ","Kamachiy atiy"
"620","Kamachipuy"," Legislar ","Kamachiy"
"621","Kamachiy"," aconsejar ","kunay"
"622","Kamakay"," Higiene ","Higiene"
"623","Kamana"," Cuidar/ abundancia ","cuidado/abundancia nisqa"
"624","Kamanayay"," Precaución ","Waqaychasqa"
"625","Kamari"," Regalo ","Suñay"
"626","Kamari- Challay"," Ofrenda ","Ofrenda"
"627","Kamay"," Cuidar/proteccion ","cuidado/protección nisqa"
"628","Kamay paktachi atiy"," Poder Judicial ","Poder de abogado nisqa"
"629","Kamayku"," Evaluación ","Qawapay"
"630","Kamaykuchiy"," Verificación ","chiqaqchay"
"631","Kamaykuna"," Evaluar ","Qawapay"
"632","Kamaykurina"," Auto evaluar.  ","Kikinmanta chaninchakuy."
"633","Kamaykurina(W)"," Auto evaluar ","kikinmanta chaninchakuy"
"634","Kamaykuriy"," Auto-evaluación ","Kikinmanta chaninchakuy"
"635","Kamaykuy"," Evaluación ","Qawapay"
"636","Kamaypakta"," Mandato ","Mandato"
"637","Kamayuk"," Cuidador- facultades de autoridad ","Cuidador- facultades de autoridad"
"638","Kamayuk Wasi"," Ministerio ","Willakuy"
"639","Kamikuy"," agravio ","queja nisqa"
"640","kamu","  libro ","maytu"
"641","Kamukuska"," Biblioteca ","Yachay taqi"
"642","Kamuti"," Camote ","Miski papa"
"643","Kamuyachik"," Imprenta ","Imprenta"
"644","Kan"," Tú ","Qam"
"645","Kana"," Ser / estar ","Kay kay"
"646","Kancha"," Afuera ","Hawapi"
"647","Kancha shuti"," Sustantivo colectivo ","huñusqa suti"
"648","Kanchachani milka"," Cuadro estadístico ","Tabla estadística"
"649","Kanchachani shuyu"," Gráfico estadístico ","Gráfico estadístico nisqa"
"650","Kanchachanikamay"," Estadística ","Estadísticas nisqamanta"
"651","Kanchaman"," Hacia fuera ","Hawa"
"652","Kanchayashka"," Convexo ","Convexo nisqa"
"653","KANCHIS"," siete- 7 ","qanchis- 7"
"654","KANCHIS CHUNKA"," setenta- 70 ","qanchis chunka- 70"
"655","KANCHIS PATSAK"," setecientos- 700 ","qanchis pachak- 700"
"656","Kankuna / kikinkuna"," Ustedes / vosotros ","Qamkuna"
"657","Kanllayay"," Externo ","Hawa kaq"
"658","Kapak"," Diciembre ","Diciembre killa"
"659","Kapak apuk"," Gobierno ","Kamachiy"
"660","KAPAK killa"," Diciembre ","Diciembre killa"
"661","Kapak llakta"," Reino ","Reino"
"662","Kapak saylla"," Meridiano ","Meridiano nisqa"
"663","Kapak shuyu"," Mapa político ","Mapa político"
"664","Kapakchi tantanakuy"," Organización política ","Organización política nisqa"
"665","Kapakchunkana"," Ajedréz ","Ajedrez"
"666","Kapakkamay"," Política ","Politica"
"667","Kapakllakta"," Imperio ","Imperio"
"668","Kapakmarka"," Imperio- reinado ","imperio- kamachiy"
"669","Kapaktukukamay"," Politica ","Politica"
"670","Kapasaylla"," Meridiano ","Meridiano nisqa"
"671","Kapisayu"," Poncho- alargado y entero Kitukara. ","Poncho- alargado y entero Kitukara."
"672","Kapisayu (Kitukara)"," Poncho- alargado y entero ","Poncho- alargado y entero"
"673","Kapuk- pukushka"," Producto ","Ruru"
"674","Kapulli"," Capulí ","Capuli"
"675","Kara"," Corteza- piel- cáscara ","Corteza- qara- qara"
"676","Karana"," dar regalo. ","Regalota qoy."
"677","Karaskruyuwa"," Crustáceos ","Crustáceos nisqakuna"
"678","Kari"," Hombre ","Qari"
"679","kari atallpa"," gallo ","gallo"
"680","Karilla"," Gallardo ","Gallante"
"681","Karipurakuyay"," Homosexualidad ","Homosexualidad nisqa"
"682","Kariwarmikanakamay"," Sexualidad ","Sexualidad nisqa"
"683","Karkanka- sakru"," Esqueleto ","Esqueleto"
"684","Karkay"," Vertebrado ","Vertebrado nisqa"
"685","Karu"," Lejos ","Karu"
"686","Karuwillay"," Telegrama ","Telegrama nisqa"
"687","Karuyari"," Teléfono ","Telefono"
"688","KARUYARIK WASILLI"," Cabina Telefonica ","Cabina de teléfono"
"689","Karwa"," Llovizna ","Ch’aqchuy"
"690","KARWAY killa"," Agosto ","Agosto killa"
"691","Kasha"," Espina ","Kichka"
"692","Kashakarayukwa"," Equidermos ","equiderms nisqa"
"693","Kasi"," tranquilo- quieto ","thak- ch’in"
"694","Kasik"," Paz ","Wakin"
"695","Kasilla"," tranquilidad ","tranquilidad nisqa"
"696","kasku"," Pecho ","Qasqu"
"697","Kasku tullu"," Esternón ","Chuchu tullu"
"698","Kaspana"," Chamuscar ","Singe"
"699","Kaspi"," Palo- Madera ","K’aspi- Madera"
"700","Kaspimakana"," espada ","espada"
"701","Katana- killpana"," Cubrir ","Qatay"
"702","Katariy"," Levantamiento ","Hoqariy"
"703","Kati paktachik"," Complemento indirecto. ","Complimento indirecto nisqa."
"704","Katichay"," Prosa ","Prosa"
"705","Katichina"," Imitar. ","Mock."
"706","Katik iñu"," Punto seguido. ","Punto qatipasqa."
"707","Katik iñu(W)"," Punto seguido ","punto qatirqa"
"708","Katik paktachik KP"," Complemento indirecto ","Complimento indirecto nisqa"
"709","Katikmanyaypurachi"," Coseno ","Cosina"
"710","Katikmanyaypuramuchi"," Secante ","Ch’akichiy"
"711","Katikmanyaypuramunchi"," Secante ","Ch’akichiy"
"712","Katikmanyaypuranchi"," Coseno ","Cosina"
"713","Katiknina"," Narrar ","Willakuy"
"714","Katikunkuy- purikunkuy"," Epidemia ","Epidemiología"
"715","Katina"," Seguir ","Qatiq"
"716","Katinalla"," Modelo ","Qatina"
"717","Katinti yupaykuna"," Series numéricas ","serie numérica nisqa"
"718","Katisuyu rikuchik iñu"," Puntos Colaterales ","Puntos Colaterales nisqa"
"719","Katsu"," Escarabajo ","Escarabajo"
"720","katuranti"," negocio ","qatuna"
"721","Katuy"," vender ","rantikuy"
"722","Katuyranti"," Feria ","Allinlla"
"723","Katuyrantin chani"," El valor del intercambio ","Chay t’ikraypa chanin"
"724","Katuyrantin chani"," El valor del intercambio ","Chay t’ikraypa chanin"
"725","KAWALLI"," lente- gafas ","lentes- lentes"
"726","Kawana"," Cantar ","Takiy"
"727","Kaway"," Observación. ","Qawariy."
"728","Kawchuna"," Torcer ","Muyuy"
"729","Kawi"," Rombo ","Diamante nisqa"
"730","Kawikuk"," Romboide ","Romboide nisqa"
"731","KAWILLI"," Camilla ","Camilla"
"732","KAWITU-TIYARINA"," Mueble ","Pedazo de mueble"
"733","Kawpuna"," Torcer ","Muyuy"
"734","Kawsa marka runa"," Nacionalidades. ","Nacionalidades nisqakuna."
"735","Kawsakkuna"," Seres ","serkuna"
"736","Kawsana"," Vivir ","Kawsay"
"737","Kawsay"," Cultura- vida ","cultura- kawsay"
"738","Kawsay killka"," Biografía ","Biografía"
"739","Kawsay killkamachiy"," Registro Civil ","Registro civil nisqa"
"740","Kawsay mallki"," Herencia genética ","Patrimonio genético nisqa"
"741","Kawsaykuk"," Célula ","Pukullu"
"742","Kawsaykuktantalli"," Tejido ","Awa"
"743","Kawsaymarka"," Nacionalidad ","Suyumanta"
"744","Kawsaypacha"," Medio ambiente ","Medio ambiente"
"745","Kawsaypura"," Interculturalidad ","Interculturalidad nisqa"
"746","Kawsayrikcha"," Novela. ","Novela."
"747","Kawsayrikcha W)"," Novela ","Novela"
"748","Kawsayshuktakayariy"," Aculturación ","aculturación nisqa"
"749","Kawsayta chikipi churashpa"," poniéndose en peligro ","peligroman churakuspa"
"750","Kawsayuk"," Célula ","Pukullu"
"751","Kay"," Aquí ","Kaypi"
"752","Kaya"," Mañana ","Paqarin"
"753","Kayachina"," Convocar ","Huñunakuy"
"754","Kayana"," Invitar/ llamar ","invitar/llamar"
"755","Kayna"," Ayer ","Qayna punchaw"
"756","Kaytarikuchi"," Estados fìsicos ","estados físicos nisqakuna"
"757","Kaytu"," Nervio ","Nervio"
"758","khallu"," Lengua ","Qallu"
"759","Khari"," Masculino ","Qari"
"760","Khiwa"," Hierva ","tinpuy"
"761","Khura"," Maíz germinado ","wiñasqa sara"
"762","Khuyana"," Amar ","Kuyay"
"763","Khuzu"," Larva de escarabajo ","larva de escarabajo"
"764","Kichankuy"," Cólera ","Piña"
"765","Kichkikuchu"," Ángulo agudo ","Ángulo agudo"
"766","Kichkikuchu kimsamanyachi"," Triángulo acutángulo ","kimsa kuchu agudo"
"767","Kichkikuchu kimsamanyaychi"," Triángulo acutángulo ","kimsa kuchu agudo"
"768","Kichuy"," Arrebatar ","Snatch"
"769","Kichwa llika"," Alfabeto Kichwa ","Kichwa alfabeto"
"770","Kikin"," Usted ","Qam"
"771","Kikin shuti"," Nombre propio ","Kikinpa sutin"
"772","Kikinkuyari"," Autoestima ","Kikinmanta chaninchakuy"
"773","Kikinllatak"," Consigo mismo ","Kikinwan"
"774","Kikinmanta"," Atentamente ","Sullullchay"
"775","Kikinmutsuri"," Autoconsumo ","Kikinmanta mikhuy"
"776","Kikinrimay"," Idiolecto ","idiolecto nisqa"
"777","Kikinruray"," Costumbres ","Costumbrekuna"
"778","Kikinyari"," Identidad ","Riqsichiq"
"779","Kikinyarina"," Identificar – apropiar ","riqsichiy – allin"
"780","Kiliki"," Quilico ","Quilic"
"781","Kilkawana"," Redactar ","Qillqay"
"782","killa"," luna ","killa"
"783","Killa"," Mes ","Killa"
"784","Killanturi"," Eclipse lunar  ","killa ch’usaqyay"
"785","Killanturiy"," Eclipse lunar ","killa ch’usaqyay"
"786","Killapa nikirakiri"," Fases de la luna ","Killa phasmikuna"
"787","Killimsa rumi"," Carbón de Piedra ","rumimanta q’umir"
"788","Killka kamachik"," Regla ortográfica ","ortografia kamachiy"
"789","Killka katina"," Leer ","Ñawinchay"
"790","Killkakatiyuk"," Escritor ","Qillqaq"
"791","Killkana"," Escribir ","Qillqay"
"792","Killkanancha"," Término algebraico ","término algebraico nisqa"
"793","Killkananchakamay"," Álgebra ","Álgebra nisqa"
"794","Killkananchapurachina"," Reducción de términos semejantes ","Reducción de términos similares"
"795","Killkananchaychi"," Expresión algebraica ","expresión algebraica nisqa"
"796","Killkapa unancha"," Signo de puntuación. ","Puntuacionpa señalnin."
"797","Killkapa unancha (W)"," Signo de puntuación ","Puntuacionpa señalnin"
"798","Killkawana"," Redactar.  ","Qillqay."
"799","KILLKAYA"," Carta ","Carta"
"800","Killkayachay"," Tema - teoría ","Tema - teoría"
"801","Killkayrimay"," Obra literaria ","Literario llamkay"
"802","Killpa"," Capa ","Lasta"
"803","KILLPAK KUSHMA"," Sweater- saco ","Suéter- saku"
"804","Killu"," Amarillo ","Qillu"
"805","Killu sara"," Maíz amarillo ","Q’illu sara"
"806","Kimi killka"," Coeficiente o parte literal ","Coeficiente o parte literal nisqa"
"807","Kimi yupay"," Coeficiente numérico ","coeficiente numérico nisqa"
"808","Kimina"," Acercar ","Zoom en"
"809","Kiminancha"," Coeficiente ","Coeficiente nisqa"
"810","Kimirik"," Contigüos. ","contiguo nisqa."
"811","Kimirik kuchukuna"," Ángulos contiguos o adiacentes ","ángulos adyacentes o adyacentes nisqa"
"812","Kimirishka yuyay"," Oración subordinada ","Cláusula subordinada"
"813","Kimiriy"," Acercarse ","Aswan asuykuspa"
"814","Kimpu / kashtuna"," Mandíbula- quijada ","jaw- jaw"
"815","Kimraymaya"," Hipotenusa ","Hipotenusa"
"816","KIMSA"," tres- 3 ","kimsa 3.1"
"817","KIMSA CHUNKA"," treinta- 30 ","kimsa chunka- 30"
"818","Kimsa kilkanancha kutinchiy"," Factorización de trinomios ","Factorización de trinomios nisqamanta"
"819","KIMSA PATSAK"," trecientos- 300 ","kimsa pachak- 300"
"820","Kimsachishka kullka"," Prisma triangular ","Prisma triangular nisqa"
"821","Kimsachishkapa tawa"," Trinomio cuadrado perfecto ","trinomio cuadrado perfecto nisqa"
"822","Kimsakamachik"," Regla de tres ","Kimsamanta kamachiy"
"823","Kimsakamachimuk"," Regla de tres inversa ","Kimsamanta kamachiy inversa"
"824","Kimsakamachiyak"," Regla de tres simple ","kimsamanta kamachiy simple"
"825","Kimsakilkanancha kutinchiy"," Factorización de trinomios ","Factorización de trinomios nisqamanta"
"826","Kimsamanyachi"," Triángulo ","Kimsa kuchu"
"827","Kimsamanyachikamay"," Trigonometría ","Trigonometría nisqa"
"828","Kimsamanyapurachi"," Relaciones trigonométricas ","relaciones trigonométricas nisqa"
"829","Kimsaniki kallariy yachay"," Tercer nivel de Ed. Básica. ","Kimsa kaq nivel de Ed. Básico."
"830","Kimsaniki kallariyachay"," Tercer Nivel ","Kimsa kaq pata"
"831","Kimsapaktamanyachi"," Triángulo equilátero ","Kimsa kuchu kaqlla"
"832","Kincha"," corral ","corral"
"833","Kinchak"," Corchetes. ","Corchetes."
"834","kinku"," Curva ","Kurku"
"835","kinkuk"," Paréntesis. ","Paréntesis nisqa."
"836","Kinraymanya"," Hipotenusa ","Hipotenusa"
"837","Kinrayshuyu"," Función ","Ruway"
"838","Kinti"," Picaflor ","colibrí"
"839","Kinuwa"," Quinoa ","Quinua"
"840","Kipapakchiruray"," Proyecto ","Ruwana"
"841","Kipapakchiruray yachay"," Proyecto de aula ","Proyecto de aula"
"842","KIPILLI"," Paquete ","Qipi"
"843","Kiri"," Llaga ","Nanasqa"
"844","Kirkinchu / kachikampu"," Armadillo ","Armadillo nisqa"
"845","Kiru"," Árbol ","Sacha"
"846","Kishparik"," Independencia ","Independencia nisqa"
"847","Kishpichina"," perdonar ","panpachay"
"848","Kishpiripacha"," Liberalismo ","Liberalismo nisqa"
"849","Kishuar"," Quishuar ","Quishuar"
"850","Kita"," Brioso ","Kawsaq"
"851","Kiti"," Cantón ","Kantun"
"852","Kiti apuk"," Jefe Político ","Jefe político"
"853","Kiti kamaklli"," Concejal ","Concejal"
"854","Kiti kapachik apuk"," Comisario Nacional ","Comisionado Nacional nisqa"
"855","Kitikapak"," Capital provincial ","provinciapa uma llaqtan"
"856","Kitilli"," Parroquia ","Parroquia"
"857","Kitilli apuk"," Teniente Político ","Teniente Político nisqa"
"858","Kucha"," Lago ","Qucha"
"859","Kuchaku"," Laguna ","laguna"
"860","Kuchawpi"," Bicectriz ","Bisector nisqa"
"861","Kuchi"," Cerdo ","Kuchi"
"862","Kuchulla"," Cerca ","Qichpa"
"863","Kuchupatay"," Grado angular ","grado angular nisqa"
"864","Kuku- pukchi"," Libra ","Libra"
"865","kukulli"," Paloma ","Urpi"
"866","Kulla"," Enero ","Enero killa"
"867","KULLA killa"," Enero ","Enero killa"
"868","Kullasuyu"," Región Sur ","Sur suyu"
"869","Kullka"," Prisma ","Prisma"
"870","KULLKA puncha"," Jueves ","Jueves"
"871","Kullkikamak wankuri"," Asociación bancaria ","asociación bancaria nisqa"
"872","Kullkikamak wankuriy"," Asociación bancaria ","asociación bancaria nisqa"
"873","Kullkikamak wasi"," Banco- mutua- copo- corporación- financiera ","Banco-mutual-codigo-corporación-qullqimanta"
"874","Kullkikamay"," Economía ","Economia"
"875","Kullkikamay kamu"," Libro contable ","hatun qillqa"
"876","Kullkikamay shinayachi"," Conmutabilidad bancaria ","Banco conmutabilidad nisqa"
"877","Kullkikamaychik"," Sistema contable ","Sistema de contabilidad nisqa"
"878","Kullkikikinchik"," Póliza ","Politica"
"879","KULLKILLI"," Billetes de denominacion baja- pequeños ","Pisi qullqi qullqikuna - uchuy"
"880","Kullkimantawankuri"," Organización económica ","organizacion económica nisqa"
"881","Kullkimashnayachik"," Presupuesto ","Presupuesto"
"882","Kullkiminkay kamu"," Libro banco ","banco libro"
"883","KULLKIPATSAKRI"," Impuesto ","Impuesto nisqa"
"884","Kullkirayku hatun tantanakuy"," Grandes bloques económico ","Hatun bloques económicos nisqakuna"
"885","Kullkirayku llankay"," Actividad Económica ","Económica nisqa ruway"
"886","Kullkiyuk"," Capitalista ","Kapitalista nisqa"
"887","Kullku"," Tronco ","Maleta"
"888","Kulta"," Pato ","Pato"
"889","Kumuriy"," Inclinarse ","Kumuy"
"890","Kuna"," Dar ","Quy"
"891","Kunakuy"," Ofrecer ","Ofrecenapaq"
"892","Kunakyuyayku"," Refrán ","Nispa"
"893","Kunan"," Presente ","Kunan"
"894","Kunan pacha"," Tiempo presente ","Kunan pacha"
"895","Kunan yallishka"," Participio ","Participio"
"896","Kunana"," Consejo ","Kunay"
"897","Kunanyallishka"," Participio. ","Participio."
"898","Kunka"," Garganta- cuello ","kunka- kunka"
"899","Kunka tullu"," Nuca ","Nape"
"900","Kunkaklla"," Olvidadiso ","qunqaq"
"901","Kunkallina"," Bufanda ","Siratu"
"902","Kunkariy"," Olvidarse ","qunqay"
"903","Kunkashka"," olvidado ","qunqasqa"
"904","Kunkay"," Olvidar ","Qunqay"
"905","Kunkaycha"," Negligencia- descuido ","Negligencia- mana yuyayniyuq kay"
"906","Kunkaychashka"," Descuidado- negligente ","Mana cuidadoyuq- negligente"
"907","Kunkaychay"," Descuidar ","Qunqay"
"908","Kunkaychiy"," Omisión- omitir ","Omisión- omitir"
"909","Kunkaylla"," tranquilo- en reposo ","tranquilo - en descanso"
"910","Kunkuri"," Rodilla ","Muqu"
"911","Kunkuriy"," arrodillarse ","qunqurchaki"
"912","Kuntisuyu"," Occidente ","Oeste"
"913","Kuntur"," Condor ","Cóndor nisqa"
"914","Kunuk"," Caliente ","Quñi"
"915","Kunuk allpa"," Costa ","Costa"
"916","Kunuk yaku"," Agua termal ","Ruphay yaku"
"917","Kunukuy- Killuchakay"," Carbohidrato ","Carbohidratos nisqa"
"918","Kupa"," rastrojo ","stubble"
"919","Kupa- ñuku"," Basura ","Qupa"
"920","Kurikinka"," Curiquingue ","Curiquingue"
"921","Kurpa"," Masa amasado ","masa masa"
"922","Kurpa (chanpa)"," Terrón ","Qipi"
"923","Kurpa- Putuk"," Enano ","Enano"
"924","Kurpañutuchi"," Desterronamiento ","lumping"
"925","Kuru"," Gusano ","Kuru"
"926","KURUN ANTA"," Motocicleta- moto ","motocicleta- motocicleta"
"927","Kururuna"," Ovillar ","Wayra"
"928","Kuruta"," Testículo ","Testículo"
"929","Kusa"," Esposo- marido ","Qusa"
"930","Kusana"," Asar ","Kanka"
"931","Kushi"," Alegre ","Kusi"
"932","Kushikuy"," Emoción ","Emoción"
"933","Kushillu"," Mono ","Chipi"
"934","Kushipatak"," Sacerdote ","Tayta cura"
"935","kushiyay"," alegria ","kusi"
"936","Kushkapaktay"," Puntualidad ","Puntualidad"
"937","Kushma"," Camisa ","Unku"
"938","Kushpana"," Saltar ","Paway"
"939","Kushpana- Pawana"," Saltar ","Paway"
"940","Kuska"," Parte- sitio- lugar- dirección ","Parte- sitio- lugar- dirección"
"941","Kuska imallichik"," Adverbio del lugar ","adverbio de lugar"
"942","Kuskallpayku"," Subterráneo ","Allpa ukupi"
"943","Kuskayupay chani"," Valor relativo ","relativo nisqa chaninchasqa"
"944","Kuski"," Septiembre- Frondoso- abundancia ","Septiembre- Raphiyuq- abundancia"
"945","KUSKI killa"," Septiembre ","Setiembre killa"
"946","Kuskina- Hamutayana"," Analizar ","Analizar"
"947","Kuskunku"," Buho ","Tuku"
"948","Kutachik"," Molinero ","Miller sutiyuq runa"
"949","Kutana"," molino ","wayra puriq"
"950","Kuticharina"," Rescatar ","Qispichiy"
"951","Kutichina"," Responder ","Kutichiy"
"952","Kutichiy"," Responder ","Kutichiy"
"953","Kutin"," Vez veces ","pacha pachakuna"
"954","Kutinchi"," Múltiplo. ","Achka."
"955","Kutinchichiy"," Factorización ","Factorización"
"956","Kutinchik millka"," Tabla de frecuencias ","tabla de frecuencia nisqa"
"957","Kutinchiklla"," Frecuencia absoluta ","Frecuencia absoluta nisqa"
"958","Kutinchina"," Repetir. ","Kutipay."
"959","Kutinchina(W)"," Repetir ","Kutipay"
"960","Kutinchishka yupaykuna"," Números múltiplos ","achka yupayniyuq"
"961","Kutinchiy"," Multiplicación ","Mirachiy"
"962","Kutinkutinchik"," Exponente ","Exponente nisqa"
"963","Kutinkutinchiy"," Potenciación ","Atiyniyuq kay"
"964","Kutinkutinmuchiy"," Radicación ","asentamiento"
"965","Kutinkutirik"," Base de potencia  ","base de potencia nisqa"
"966","Kutinriksina"," Reconocer ","Riqsiy"
"967","Kutirichiy"," Convertirse ","Tukuy"
